Sales ID,Sales Date,Customer Name,Gender,Stores,Sales Reps,Product,Category,Qty,Trans.Types,Price,Cost,Total Sales,COGS,Gross Profit,Week days
ID1,01-06-2020,Bernard N Wearherly,Female,Freeport,Farida Ibrahim,Military Boots Women,Women Bag,2000,Sales,13000,12000,26000000,24000000,2000000,Mon
ID2,02-06-2020,Cordia M Knorp,Female,Garden City,Felex Ada,Court Shoes,Women Bag,1,Returned,13200,12000,13200,12000,1200,Tue
ID3,03-06-2020,Burton C Jin,Male,Harrison,Winner Sanda,Brogues,Women Bag,1,Sales,22000,20000,22000,20000,2000,Wed
ID4,04-06-2020,Lauren O Guzri,Female,Holbrook,Peter Pan,Shoe Bag,Female Bag,1,Sales,1600,1590,1600,1590,10,Thu
ID5,05-06-2020,Carter C Hunr,Female,Freeport,Farida Ibrahim,Heels,Women Bag,50,Sales,13000,12000,650000,600000,50000,Fri
ID6,06-06-2020,Isaiah Y Magrood,Male,Freeport,Farida Ibrahim,Calf Boots Men,Men Shoes,2,Sales,10000,9000,20000,18000,2000,Sat
ID7,07-06-2020,Hugh N Charira,Male,Garden City,Felex Ada,Foot Ball Boots Women,Women Bag,20,Sales,22000,20000,440000,400000,40000,Sun
ID8,08-06-2020,Lucius C Moorhead,Female,Harrison,Winner Sanda,Leader Hand Bag White,Female Bag,100,Sales,100,80,10000,8000,2000,Mon
ID9,09-06-2020,Deane I Keorn,Male,Holbrook,Peter Pan,Leader Hand Bag Black,Female Bag,1,Sales,170,150,170,150,20,Tue
ID10,10-06-2020,Joannie E Wolrers,Female,Harrison,Winner Sanda,Bag Pack,Male Bags,150,Sales,44000,40000,6600000,6000000,600000,Wed
ID11,11-06-2020,Christene L Mccrleb,Female,Holbrook,Peter Pan,Foot Ball Boots Men,Men Shoes,50,Sales,5500,5000,275000,250000,25000,Thu
ID12,12-06-2020,Alline V Kusrner,Female,Harrison,Winner Sanda,Canvas Shoes,Men Shoes,100,Sales,22000,20000,2200000,2000000,200000,Fri
ID13,13-06-2020,Vicki Y Harrrave,Female,Holbrook,Peter Pan,Wellington Boots,Women Bag,2,Sales,7700,7000,15400,14000,1400,Sat
ID14,14-06-2020,Julienne A Merrel,Female,Harrison,Winner Sanda,Flip Flops,Women Bag,3,Sales,22000,20000,66000,60000,6000,Sun
ID15,15-06-2020,Keven C Thore,Female,Holbrook,Peter Pan,Mules,Female Bag,1,Sales,44000,40000,44000,40000,4000,Mon
ID16,16-06-2020,Eusebia N Walrroup,Male,Harrison,Winner Sanda,Loafers,Women Bag,2,Sales,19800,18000,39600,36000,3600,Tue
ID17,17-06-2020,Veronique E Eccreston,Male,Holbrook,Peter Pan,Gladiator sandals,Women Bag,2,Sales,9950,9000,19900,18000,1900,Wed
ID18,18-06-2020,Sean W Ricrman,Male,Harrison,Winner Sanda,Trainers Men,Men Shoes,2,Sales,7700,7000,15400,14000,1400,Thu
ID19,19-06-2020,Lala C Marruez,Male,Holbrook,Peter Pan,Trainers Women,Women Bag,4,Sales,11000,10000,44000,40000,4000,Fri
ID20,20-06-2020,Derick A Macry,Male,Harrison,Winner Sanda,Military Boots Women,Women Bag,100,Sales,13200,12000,1320000,1200000,120000,Sat
ID21,21-06-2020,Eda O Brare,Male,Holbrook,Peter Pan,Court Shoes,Women Bag,100,Sales,9950,9000,995000,900000,95000,Sun
ID22,22-06-2020,Willis D Weirsman,Male,Harrison,Winner Sanda,Brogues,Women Bag,2,Sales,7700,7000,15400,14000,1400,Mon
ID23,23-06-2020,Mariam F Pinreiro,Male,Holbrook,Peter Pan,Shoe Bag,Female Bag,4,Sales,11000,10000,44000,40000,4000,Tue
ID24,24-06-2020,Malcom L Meirter,Female,Harrison,Winner Sanda,Heels,Women Bag,1,Sales,13200,12000,13200,12000,1200,Wed
ID25,25-06-2020,Holli G Ethridge,Female,Holbrook,Peter Pan,Calf Boots Men,Men Shoes,2,Sales,9950,9000,19900,18000,1900,Thu
ID26,26-06-2020,Cole N Polrng,Female,Harrison,Winner Sanda,Foot Ball Boots Women,Women Bag,2,Sales,7700,7000,15400,14000,1400,Fri
ID27,27-06-2020,Ahmad V Lynre,Male,Garden City,Felex Ada,Leader Hand Bag White,Female Bag,1,Sales,11000,10000,11000,10000,1000,Sat
ID28,28-06-2020,Mariano F Leary,Male,Harrison,Winner Sanda,Leader Hand Bag Black,Female Bag,1,Sales,7700,7000,7700,7000,700,Sun
ID29,29-06-2020,Tawanda E Bucranon,Male,Holbrook,Peter Pan,Bag Pack,Male Bags,2,Sales,9950,9000,19900,18000,1900,Mon
ID30,30-06-2020,Nickolas G Grorsi,Male,Freeport,Farida Ibrahim,Foot Ball Boots Men,Men Shoes,2,Sales,19800,18000,39600,36000,3600,Tue
ID31,01-07-2020,Bradford K Marratt,Female,Freeport,Farida Ibrahim,Canvas Shoes,Men Shoes,1,Sales,44000,40000,44000,40000,4000,Wed
ID32,02-07-2020,Carlton P Bosr,Male,Garden City,Felex Ada,Wellington Boots,Women Bag,1,Sales,22000,20000,22000,20000,2000,Thu
ID33,03-07-2020,Asuncion X Brarnstein,Male,Harrison,Winner Sanda,Flip Flops,Women Bag,2,Sales,13000,12000,26000,24000,2000,Fri
ID34,04-07-2020,Theron T Krarer,Male,Holbrook,Peter Pan,Mules,Female Bag,2,Sales,6700,5000,13400,10000,3400,Sat
ID35,05-07-2020,Jeramy F Metryer,Male,Freeport,Farida Ibrahim,Loafers,Women Bag,1,Sales,6700,5001,6700,5001,1699,Sun
ID36,06-07-2020,Sol K Rogrr,Male,Freeport,Farida Ibrahim,Gladiator sandals,Women Bag,1,Sales,6700,5002,6700,5002,1698,Mon
ID37,07-07-2020,Earnest H Birrholz,Male,Garden City,Felex Ada,Trainers Men,Men Shoes,2,Sales,6700,5000,13400,10000,3400,Tue
ID38,08-07-2020,Amada J Knorse,Male,Harrison,Winner Sanda,Trainers Women,Women Bag,2,Sales,6700,5001,13400,10002,3398,Wed
ID39,09-07-2020,Gregorio H Hotringer,Male,Holbrook,Peter Pan,Military Boots Women,Women Bag,1,Sales,13200,12000,13200,12000,1200,Thu
ID40,10-07-2020,Lawerence W Abernethy,Male,Freeport,Farida Ibrahim,Court Shoes,Women Bag,1,Sales,5500,5000,5500,5000,500,Fri
ID41,11-07-2020,Marina X Quarle,Male,Freeport,Farida Ibrahim,Brogues,Women Bag,2,Sales,3850,3500,7700,7000,700,Sat
ID42,12-07-2020,Whitney N Wasrnger,Male,Garden City,Felex Ada,Shoe Bag,Female Bag,2,Sales,10000,9000,20000,18000,2000,Sun
ID43,13-07-2020,Roy W Wilrie,Male,Harrison,Winner Sanda,Heels,Women Bag,1,Sales,8500,7600,8500,7600,900,Mon
ID44,14-07-2020,Hyun Z Bynre,Male,Holbrook,Peter Pan,Calf Boots Men,Men Shoes,1,Returned,13200,12000,13200,12000,1200,Tue
ID45,15-07-2020,Katelin F Conry,Female,Freeport,Farida Ibrahim,Foot Ball Boots Women,Women Bag,1,Sales,11000,10000,11000,10000,1000,Wed
ID46,16-07-2020,Jennifer Z Prirgen,Female,Freeport,Farida Ibrahim,Leader Hand Bag White,Female Bag,2,Returned,7700,7000,15400,14000,1400,Thu
ID47,17-07-2020,Zachary U Brerden,Female,Garden City,Felex Ada,Leader Hand Bag Black,Female Bag,3,Sales,9950,9000,29850,27000,2850,Fri
ID48,18-07-2020,Deon U Mource,Male,Harrison,Winner Sanda,Bag Pack,Male Bags,2,Sales,19800,18000,39600,36000,3600,Sat
ID49,19-07-2020,Buddy G Sternbeck,Male,Holbrook,Peter Pan,Foot Ball Boots Men,Men Shoes,2,Sales,44000,40000,88000,80000,8000,Sun
ID50,20-07-2020,Julius N Bakrer,Male,Freeport,Farida Ibrahim,Canvas Shoes,Men Shoes,3,Sales,22000,20000,66000,60000,6000,Mon
ID51,21-07-2020,,Male,Freeport,Farida Ibrahim,Wellington Boots,Women Bag,1,Sales,11000,10000,11000,10000,1000,Tue
ID52,22-07-2020,Jamal G Dimrrco,Female,Garden City,Felex Ada,Flip Flops,Women Bag,2,Sales,7700,7000,15400,14000,1400,Wed
ID53,23-07-2020,Stephan Q Ranrer,Male,Harrison,Winner Sanda,Mules,Female Bag,2,Sales,9950,9000,19900,18000,1900,Thu
ID54,24-07-2020,Jackie P Monrague,Male,Holbrook,Peter Pan,Loafers,Women Bag,2,Sales,19800,18000,39600,36000,3600,Fri
ID55,25-07-2020,,Male,Freeport,Farida Ibrahim,Gladiator sandals,Women Bag,4,Sales,44000,40000,176000,160000,16000,Sat
ID56,26-07-2020,Hosea B Micrelson,Male,Freeport,Farida Ibrahim,Trainers Men,Men Shoes,1,Sales,22000,20000,22000,20000,2000,Sun
