ID,Date,Customer,Gender,City,Distributors,Branch,Manager,Product,Category,Price,Cost,Qty,Total_Sales,cogs,Profit
88065565355,2020-01-01,Mumin Yusha,Male,Little Falls,Antone E Angel,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,52,49,100,5200,4900,300
88065565356,2020-01-02,Cordia M Knopp,Female,Auburn,Merle N Burrus,Uptown Store,Drek Yassi,Boost,Non Alcoholic,9,6,3000,27000,18000,9000
88065565357,2020-01-03,Burton C Jin,Male,Betavia,Twanna Y Manges,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,5,2,5000,25000,10000,15000
88065565358,2020-01-04,Femi Grek,Male,Beacon,Reatha Q Breazeale,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,14,11,300,4200,3300,900
88065565359,2020-01-05,Femi Grek,Male,Beacon,Antone E Angel,Main Street,Drek Yassi,Boost,Alcoholic,6,3,2000,12000,6000,6000
88065565360,2020-01-06,Femi Grek,Male,Beacon,Merle N Burrus,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,10,7,600,6000,4200,1800
88065565361,2020-01-07,Hugh N Chavira,Male,Geneva,Twanna Y Manges,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,13,10,1230,15990,12300,3690
88065565362,2020-01-08,Lucius C Moorhead,Male,Elmira,Reatha Q Breazeale,Main Street,Drek Yassi,Boost,Non Alcoholic,20,17,900,18000,15300,2700
88065565363,2020-01-09,Deane I Keown,Male,Glen Cove,Antone E Angel,Main Street,Drek Yassi,Cel Ray,Alcoholic,15,12,2390,35850,28680,7170
88065565364,2020-01-10,Joannie E Wolters,Female,Glens Falls,Merle N Burrus,Uptown Store,Drek Yassi,Cazadores Tequila,Alcoholic,20,17,10000,200000,170000,30000
88065565365,2020-01-11,Christene L Mccaleb,Female,Hornell ,Twanna Y Manges,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,12,9,2300,27600,20700,6900
88065565366,2020-01-12,Alline V Kushner,Female,Hudson,Reatha Q Breazeale,Main Street,Drek Yassi,Boost,Non Alcoholic,16,13,7800,124800,101400,23400
88065565367,2020-01-13,Femi Grek,Male,Beacon,Antone E Angel,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,70,67,450,31500,30150,1350
88065565368,2020-01-14,Femi Grek,Male,Beacon,Merle N Burrus,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,15,12,2000,30000,24000,6000
88065565369,2020-01-15,Femi Grek,Male,Beacon,Twanna Y Manges,Main Street,Drek Yassi,Boost,Alcoholic,16,13,123,1968,1599,369
88065565370,2020-01-16,Femi Grek,Male,Beacon,Reatha Q Breazeale,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,20,17,12903,258060,219351,38709
88065565371,2020-01-17,Femi Grek,Male,Beacon,Antone E Angel,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,12,9,100000,1200000,900000,300000
88065565372,2020-01-18,Femi Grek,Male,Beacon,Merle N Burrus,Main Street,Drek Yassi,Boost,Non Alcoholic,12,9,12000,144000,108000,36000
88065565373,2020-01-19,Lala C Marquez,Female,Mount,Twanna Y Manges,Uptown Store,Drek Yassi,Cel Ray,Alcoholic,18,15,60,1080,900,180
88065565374,2020-01-20,Derick A Macey,Male,New York,Reatha Q Breazeale,Main Street,Drek Yassi,Cazadores Tequila,Alcoholic,10,7,89,890,623,267
88065565375,2020-01-21,Eda O Brase,Female,Newburgh,Antone E Angel,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,15,12,77,1155,924,231
88065565376,2020-01-22,Willis D Weissman,Male,Olean,Merle N Burrus,Uptown Store,Drek Yassi,Boost,Non Alcoholic,15,12,68,1020,816,204
88065565377,2020-01-23,Mariam F Pinheiro,Female,Peekskill,Antone E Angel,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,23,20,15,345,300,45
88065565378,2020-01-24,Malcom L Meister,Male,Port Jervis,Merle N Burrus,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,9,6,47,423,282,141
88065565379,2020-01-25,Holli G Ethridge,Female,Poughkeepsie,Antone E Angel,Main Street,Drek Yassi,Boost,Alcoholic,18,15,6,108,90,18
88065565380,2020-01-26,Cole N Poling,Male,Rye ,Merle N Burrus,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,14,11,10,140,110,30
88065565381,2020-01-27,Ahmad V Lynde,Male,Rome,Antone E Angel,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,30,27,11,330,297,33
88065565382,2020-01-28,Mariano F Leary,Male,Rochester,Merle N Burrus,Uptown Store,Drek Yassi,Boost,Non Alcoholic,16,13,60,960,780,180
88065565383,2020-01-29,Tawanda E Buchanon,Female,Salamanca,Antone E Angel,Main Street,Drek Yassi,Cel Ray,Alcoholic,52,49,89,4628,4361,267
88065565384,2020-01-30,Nickolas G Grossi,Male,Springs,Merle N Burrus,Uptown Store,Drek Yassi,Cazadores Tequila,Alcoholic,14,11,77,1078,847,231
88065565385,2020-01-31,Bradford K Marlatt,Male,Sherrill,Antone E Angel,Main Street,Drek Yassi,Oliver Cromwell,Alcoholic,6,3,68,408,204,204
88065565386,2020-02-01,Carlton P Bose,Male,Syracuse,Merle N Burrus,Uptown Store,Drek Yassi,Boost,Non Alcoholic,13,10,15,195,150,45
88065565387,2020-02-02,Asuncion X Braunstein,Female,Troy,Antone E Angel,Main Street,Drek Yassi,Cel Ray,Non Alcoholic,15,12,100,1500,1200,300
88065565388,2020-02-03,Theron T Kramer,Male,Watertown,Merle N Burrus,Uptown Store,Drek Yassi,Oliver Cromwell,Alcoholic,20,17,3000,60000,51000,9000
88065565389,2020-02-04,Jeramy F Metoyer,Male,Watervliet,Antone E Angel,Main Street,Drek Yassi,Boost,Alcoholic,12,9,5000,60000,45000,15000
88065565390,2020-02-05,Sol K Roger,Female,Yakers,Merle N Burrus,Uptown Store,Drek Yassi,Cel Ray,Non Alcoholic,16,13,300,4800,3900,900
