ID,Date,Customer,Gender,City,Sales_Rep,Store,Supervisor,Manager,Product,Category,Price,Cost,Qty,Total_Sales,COGS,Gross_Profit,Column2,Month
88065565355,44081,Mumin Yusha,Male,Little Falls,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Oliver Cromwell,Alcoholic,52,49,60,3120,2940,180,9,August
88065565356,44095,Cordia M Knopp,Female,Auburn,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Boost,Non Alcoholic,9,6,89,801,534,267,9,August
88065565357,44096,Burton C Jin,Male,Betavia,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Cel Ray,Non Alcoholic,5,2,77,385,154,231,9,August
88065565358,44103,Femi Grek,Male,Beacon,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Oliver Cromwell,Alcoholic,14,11,68,952,748,204,9,August
88065565359,44098,Femi Grek,Male,Beacon,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Boost,Alcoholic,6,3,15,90,45,45,9,August
88065565360,44099,Femi Grek,Male,Beacon,Merle N Burrus,Main Street,Josef I Sergent,Amir Yusha,Cel Ray,Non Alcoholic,10,7,47,470,329,141,9,August
88065565361,44103,Hugh N Chavira,Male,Geneva,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Oliver Cromwell,Alcoholic,13,10,6,78,60,18,9,August
88065565362,44102,Lucius C Moorhead,Male,Elmira,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Boost,Non Alcoholic,20,17,10,200,170,30,9,August
88065565363,44102,Deane I Keown,Male,Glen Cove,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Cel Ray,Alcoholic,15,12,11,165,132,33,9,August
88065565364,44103,Joannie E Wolters,Female,Glens Falls,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Cazadores Tequila,Alcoholic,20,17,60,1200,1020,180,9,August
88065565365,44104,Christene L Mccaleb,Female,Hornell ,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Benchmark Bourbon,Alcoholic,12,9,89,1068,801,267,9,August
88065565366,44044,Alline V Kushner,Female,Hudson,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Janie Stewart,Alcoholic,16,13,77,1232,1001,231,8,Sept
88065565367,44045,Femi Grek,Male,Beacon,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Date Shake,Non Alcoholic,70,67,68,4760,4556,204,8,Sept
88065565368,44046,Femi Grek,Male,Beacon,Merle N Burrus,Main Street,Josef I Sergent,Amir Yusha,Dr. Enuf,Non Alcoholic,15,12,15,225,180,45,8,Sept
88065565369,44047,Femi Grek,Male,Beacon,Twanna Y Manges,Main Street,Reatha O Hansford,Amir Yusha,Janie Stewart,Alcoholic,16,13,47,752,611,141,8,Sept
88065565370,44048,Femi Grek,Male,Beacon,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Speyburn Bradan,Alcoholic,20,17,6,120,102,18,8,Sept
88065565371,44052,Femi Grek,Male,Beacon,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Uv Blue,Alcoholic,12,9,10,120,90,30,8,Sept
88065565372,44051,Femi Grek,Male,Beacon,Merle N Burrus,Main Street,Josef I Sergent,Amir Yusha,Dr. Nut,Non Alcoholic,12,9,11,132,99,33,8,Sept
88065565373,44051,Lala C Marquez,Female,Mount,Twanna Y Manges,Uptown Store,Reatha O Hansford,Amir Yusha,Egg Cream,Non Alcoholic,18,15,60,1080,900,180,8,Sept
88065565374,44052,Derick A Macey,Male,New York,Reatha Q Breazeale,Main Street,Anitra F Dedmon,Amir Yusha,Burnett's,Alcoholic,10,7,89,890,623,267,8,Sept
88065565375,44053,Eda O Brase,Female,Newburgh,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Smirnoff,Alcoholic,15,12,77,1155,924,231,8,Sept
88065565376,44054,Willis D Weissman,Male,Olean,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Fireball,Alcoholic,15,12,68,1020,816,204,8,Sept
88065565377,44055,Mariam F Pinheiro,Female,Peekskill,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Faygo,Non Alcoholic,23,20,15,345,300,45,8,Sept
88065565378,44056,Malcom L Meister,Male,Port Jervis,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Green River,Non Alcoholic,9,6,47,423,282,141,8,Sept
88065565379,44057,Holli G Ethridge,Female,Poughkeepsie,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Ironport,Non Alcoholic,18,15,6,108,90,18,8,Sept
88065565380,44058,Cole N Poling,Male,Rye ,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Suedka,Alcoholic,14,11,10,140,110,30,8,Sept
88065565381,44062,Ahmad V Lynde,Male,Rome,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Apple Beer,Alcoholic,30,27,11,330,297,33,8,Sept
88065565382,44061,Mariano F Leary,Male,Rochester,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Birch Beer,Alcoholic,16,13,60,960,780,180,8,Sept
88065565383,44061,Tawanda E Buchanon,Female,Salamanca,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Oliver Cromwell,Alcoholic,52,49,89,4628,4361,267,8,Sept
88065565384,44062,Nickolas G Grossi,Male,Springs,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Degrees Vodka,Alcoholic,14,11,77,1078,847,231,8,Sept
88065565385,44063,Bradford K Marlatt,Male,Sherrill,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,St. Amdr Cabernet,Alcoholic,6,3,68,408,204,204,8,Sept
88065565386,44064,Carlton P Bose,Male,Syracuse,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Nake Turtle,Alcoholic,13,10,15,195,150,45,8,Sept
88065565387,44065,Asuncion X Braunstein,Female,Troy,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Gallo XO,Alcoholic,15,12,47,705,564,141,8,Sept
88065565388,44066,Theron T Kramer,Male,Watertown,Merle N Burrus,Uptown Store,Josef I Sergent,Amir Yusha,Cazadores Tequila,Alcoholic,20,17,6,120,102,18,8,Sept
88065565389,44067,Jeramy F Metoyer,Male,Watervliet,Antone E Angel,Main Street,Jeremiah E Isler,Amir Yusha,Benchmark Bourbon,Alcoholic,12,9,10,120,90,30,8,Sept
